"race_dichotomized","exposure","outcome_PC1","term","estimate","std.error","statistic","conf.low","conf.high","p.value"
0,"isolation_cat_d","IFN_alpha2","isolation_cat_dHigh",-0.641847884722336,0.235352015159991,-2.72718244747558,-1.11161247311837,-0.172083296326305,0.0081466397654982
1,"isolation_cat_d","IFN_alpha2","isolation_cat_dHigh",0.344296830647317,0.459680111304087,0.748992227813742,-0.600589170496866,1.2891828317915,0.460584884520959
0,"isolation_cat_d","CX3CL1","isolation_cat_dHigh",-0.947348226572245,0.312565491199958,-3.0308791381138,-1.57123155818738,-0.323464894957109,0.00346398840871905
1,"isolation_cat_d","CX3CL1","isolation_cat_dHigh",0.733761629997925,0.524751855026277,1.39830211740973,-0.344881255991045,1.8124045159869,0.173837005143346
0,"isolation_cat_d","IFN_lambda1","isolation_cat_dHigh",-0.869849876507734,0.292106166506608,-2.97785523294681,-1.45289622511723,-0.286803527898241,0.00403798756534143
1,"isolation_cat_d","IFN_lambda1","isolation_cat_dHigh",-0.0704407787415588,0.397318667391212,-0.177290383067254,-0.88714099608655,0.746259438603432,0.860654250364251
0,"isolation_cat_d","IFN_lambda2_3","isolation_cat_dHigh",-0.543255095457456,0.299089038869116,-1.81636578027585,-1.14023931563761,0.0537291247226958,0.0737878860146938
1,"isolation_cat_d","IFN_lambda2_3","isolation_cat_dHigh",-0.470182328201684,0.413524890478829,-1.13701094910454,-1.32019491419249,0.379830257789119,0.265904539617202
0,"isolation_cat_d","sTREM_1","isolation_cat_dHigh",-0.934912070483878,0.345693775800224,-2.70445155779768,-1.62491973491567,-0.244904406052084,0.00866529818347901
1,"isolation_cat_d","sTREM_1","isolation_cat_dHigh",0.481364944584553,0.36532536577819,1.31763351159366,-0.269572099455492,1.2323019886246,0.199119616488213
0,"isolation_cat_d","sRAGE","isolation_cat_dHigh",-0.773815799867716,0.348700325970474,-2.21914274876026,-1.46982456355613,-0.0778070361793072,0.0298675634500445
1,"isolation_cat_d","sRAGE","isolation_cat_dHigh",0.502574122123258,0.469936108209107,1.06945202410288,-0.463393382581823,1.46854162682834,0.294694641781413
0,"isolation_cat_d","GM_CSF","isolation_cat_dHigh",-0.199920279595136,0.256273464428633,-0.780105267788308,-0.711444255509693,0.31160369631942,0.438076192532305
1,"isolation_cat_d","GM_CSF","isolation_cat_dHigh",0.339257323728348,0.278618529347416,1.21764092475458,-0.233451265496648,0.911965912953344,0.234296370540168
0,"social_health2_d","IL_10","social_health2_dPoor",-0.227112955528364,0.27075728450601,-0.838806445938199,-0.767546757315565,0.313320846258836,0.404560727737079
1,"social_health2_d","IL_10","social_health2_dPoor",-0.494086139146687,0.37034676950102,-1.33411758880032,-1.25534482636232,0.267172548068945,0.193733879804046
0,"social_health2_d","IFN_gamma","social_health2_dPoor",-0.344862241968657,0.280564484822064,-1.22917283057894,-0.904871297516301,0.215146813578986,0.223306473566242
1,"social_health2_d","IFN_gamma","social_health2_dPoor",-0.464752261304167,0.492939406295719,-0.942818235605529,-1.47800372241216,0.548499199803823,0.354452794215122
0,"social_health2_d","IL_12p70","social_health2_dPoor",-0.195325818661191,0.275191373068052,-0.709781765625657,-0.744610098260715,0.353958460938334,0.4803025000165
1,"social_health2_d","IL_12p70","social_health2_dPoor",-0.35793162942114,0.403325555327156,-0.887450905834135,-1.18697918175309,0.471115922910814,0.382972309957736
0,"social_health2_d","IFN_alpha2","social_health2_dPoor",-0.360554777912522,0.222563049453201,-1.62001185191497,-0.804792483918455,0.0836829280934118,0.10992744562561
1,"social_health2_d","IFN_alpha2","social_health2_dPoor",-0.144292634135231,0.491220002089591,-0.293743401167354,-1.1540098092806,0.865424541010136,0.77128611690011
