"","exposure","outcome_PC2","term","estimate","std.error","statistic","conf.low","conf.high","p.value"
"116","social_activities_nominal","sTREM_1","social_activities_nominalGood",-0.295078163888114,0.339468685940885,-0.869235296534828,-0.968334236988033,0.378177909211805,0.386739490085823
"117","social_activities_nominal","sTREM_1","social_activities_nominalFair",-0.326306236948717,0.530749758167891,-0.614802422284848,-1.37892320217028,0.726310728272844,0.540041050401998
"118","social_activities_nominal","IL_6","social_activities_nominalVery good",0.115864944510885,0.265846724944103,0.43583363509649,-0.411379333076205,0.643109222097975,0.663869495394751
"119","social_activities_nominal","IL_6","social_activities_nominalGood",0.251664830031468,0.321636244014457,0.782451712811807,-0.386224800382011,0.889554460444948,0.435744331611125
"120","social_activities_nominal","IL_6","social_activities_nominalFair",-0.355159397923077,0.50286923595194,-0.706265908771998,-1.35248192309618,0.642163127250028,0.481617322282325
"121","social_activities_nominal","IL_10","social_activities_nominalVery good",0.11953582475254,0.239176496590191,0.499780816496173,-0.354814345207317,0.593885994712396,0.618295424883482
"122","social_activities_nominal","IL_10","social_activities_nominalGood",-0.219418953979023,0.289369109346676,-0.758266680484371,-0.793314333151314,0.354476425193269,0.450022878132144
"123","social_activities_nominal","IL_10","social_activities_nominalFair",-0.847472592448715,0.452420476961904,-1.87319680607665,-1.74474190276856,0.0497967178711344,0.0638765110740678
"124","social_activities_nominal","IL_12p70","social_activities_nominalVery good",-0.0994487979811323,0.241848868992162,-0.411202245416972,-0.579098988307301,0.380201392345036,0.681778554246731
"125","social_activities_nominal","IL_12p70","social_activities_nominalGood",-0.182444619545456,0.292602295018452,-0.623524226062379,-0.762752259933977,0.397863020843065,0.534318455658704
"126","social_activities_nominal","IL_12p70","social_activities_nominalFair",-0.675158507666665,0.457475471971682,-1.4758354251361,-1.58245320834142,0.232136193008087,0.143038666334286
"127","social_activities_d","TGF_beta1","social_activities_dHigh",0.386896173910561,0.54450128337604,0.710551445373481,-0.692749287368457,1.46654163518958,0.478937520758872
"128","social_activities_d","VEGF","social_activities_dHigh",0.461116155090759,0.48913809239053,0.942711602846505,-0.508754325496158,1.43098663567768,0.34799244666032
"129","social_activities_d","IL_18","social_activities_dHigh",0.072947336831684,0.448158859016757,0.162771158851412,-0.815668893913304,0.961563567576672,0.871011469024383
"130","social_activities_d","VILIP_1","social_activities_dHigh",-0.0180026405313532,0.439743383160181,-0.040938968545652,-0.889932537211667,0.853927256148961,0.967422295080399
"131","social_activities_d","sRAGE","social_activities_dHigh",0.201781624283828,0.502321786577934,0.401697934820754,-0.794229686502917,1.19779293507057,0.688722781573701
"132","social_activities_d","sTREM_1","social_activities_dHigh",0.114786081070956,0.490403203235963,0.234064704947952,-0.857592880623329,1.08716504276524,0.81539052070932
"133","social_activities_d","IL_6","social_activities_dHigh",0.470777896138615,0.463456340674857,1.01579772423244,-0.448170414888652,1.38972620716588,0.312060676661635
"134","social_activities_d","IL_10","social_activities_dHigh",0.862405084768976,0.419340392485904,2.05657527922966,0.0309305496287146,1.69387961990924,0.0422064749763326
"135","social_activities_d","IL_12p70","social_activities_dHigh",0.583232092587458,0.421178071844775,1.38476367022832,-0.251886221253909,1.41835040642883,0.169060187219447
"136","social_activities2_d","TGF_beta1","social_activities2_dHigh",0.207100799997016,0.284967107997794,0.726753348665838,-0.357936334270212,0.772137934264245,0.468994207098626
"137","social_activities2_d","VEGF","social_activities2_dHigh",-0.00567035849593132,0.257101375191793,-0.0220549520270024,-0.515454892139929,0.504114175148066,0.982445978834425
"138","social_activities2_d","IL_18","social_activities2_dHigh",-0.0432288615650995,0.234563423780574,-0.184294980301527,-0.508324800910882,0.421867077780682,0.854137518112222
"139","social_activities2_d","VILIP_1","social_activities2_dHigh",-0.215015591826401,0.229210368972321,-0.938070964199554,-0.669497412336918,0.239466228684116,0.350360740748237
"140","social_activities2_d","sRAGE","social_activities2_dHigh",0.20337251201311,0.262373652177351,0.775125514034621,-0.316865972965531,0.723610996991752,0.440007649875947
"141","social_activities2_d","sTREM_1","social_activities2_dHigh",0.113519056638336,0.256510805704314,0.442550778033079,-0.395094486805652,0.622132600082324,0.659001001306842
"142","social_activities2_d","IL_6","social_activities2_dHigh",-0.0438988889353524,0.243730011867648,-0.180112775603484,-0.527170479148774,0.439372701278069,0.85741118589629
"143","social_activities2_d","IL_10","social_activities2_dHigh",0.434196796911844,0.21981798472414,1.9752560167301,-0.0016616606540279,0.870055254477716,0.0508638506875836
"144","social_activities2_d","IL_12p70","social_activities2_dHigh",0.221307353164557,0.221402680511156,0.999569439058374,-0.217693263412129,0.660307969741243,0.319816918037549
"145","isolation_cat_ordinal","TGF_beta1","isolation_cat_ordinal.L",-0.508926568469473,0.286323286705256,-1.77745433955348,-1.0767812768057,0.0589281398667522,0.0784450212398964
"146","isolation_cat_ordinal","TGF_beta1","isolation_cat_ordinal.Q",0.134529359978165,0.266812265515132,0.504209803542689,-0.394629839603773,0.663688559560102,0.615190826922163
"147","isolation_cat_ordinal","TGF_beta1","isolation_cat_ordinal.C",-0.18498340964836,0.245757086467379,-0.75270834427358,-0.672384627563102,0.302417808266383,0.453342078321783
"148","isolation_cat_ordinal","VEGF","isolation_cat_ordinal.L",-0.32169343058163,0.260195526129363,-1.23635265896805,-0.837729888184461,0.194343027021202,0.219139415158502
"149","isolation_cat_ordinal","VEGF","isolation_cat_ordinal.Q",0.0435501661734128,0.242464937457016,0.179614284152459,-0.437321850649826,0.524422182996652,0.857808265903322
"150","isolation_cat_ordinal","VEGF","isolation_cat_ordinal.C",-0.169350187012877,0.223331099433853,-0.758292004302948,-0.612274748932873,0.273574374907118,0.450007787877338
"151","isolation_cat_ordinal","IL_18","isolation_cat_ordinal.L",-0.0506152905542201,0.235691010191884,-0.214752741366811,-0.518052820313219,0.416822239204778,0.830384716227622
"152","isolation_cat_ordinal","IL_18","isolation_cat_ordinal.Q",0.339517392520695,0.219630240748044,1.54585903728159,-0.0960673890628637,0.775102174104253,0.12520568764964
"153","isolation_cat_ordinal","IL_18","isolation_cat_ordinal.C",-0.129715029871944,0.202298376209047,-0.641206480757424,-0.530926145953238,0.27149608620935,0.522812761381204
"154","isolation_cat_ordinal","VILIP_1","isolation_cat_ordinal.L",-0.0383689294545319,0.234487272651644,-0.163629049119152,-0.503419129710255,0.426681270801191,0.870343817211403
"155","isolation_cat_ordinal","VILIP_1","isolation_cat_ordinal.Q",-0.15361903810744,0.218508529887944,-0.703034513967118,-0.586979170761358,0.279741094546478,0.483620272357958
"156","isolation_cat_ordinal","VILIP_1","isolation_cat_ordinal.C",-0.14067851649642,0.201265183854471,-0.698970948686984,-0.539840539226231,0.258483506233391,0.486145532153822
"157","isolation_cat_ordinal","sRAGE","isolation_cat_ordinal.L",-0.373865801981245,0.264935016613644,-1.4111603923103,-0.899301921126046,0.151570317163556,0.161210772957428
"158","isolation_cat_ordinal","sRAGE","isolation_cat_ordinal.Q",0.147942745296984,0.246881463294121,0.599246064580934,-0.34168840886345,0.637573899457418,0.55032463212602
"159","isolation_cat_ordinal","sRAGE","isolation_cat_ordinal.C",-0.171409553501563,0.227399100280587,-0.753782901031977,-0.622402035641795,0.27958292863867,0.452699308088541
